County,Senate_Winning_Party
Adams,Republican
Allegheny,Democratic
Armstrong,Republican
Beaver,Republican
Bedford,Republican
Berks,Republican
Blair,Republican
Bradford,Republican
Bucks,Democratic
Butler,Republican
Cambria,Republican
Cameron,Republican
Carbon,Republican
Centre,Democratic
Chester,Democratic
Clarion,Republican
Clearfield,Republican
Clinton,Republican
Columbia,Republican
Crawford,Republican
Cumberland,Republican
Dauphin,Democratic
Delaware,Democratic
Elk,Republican
Erie,Democratic
Fayette,Republican
Forest,Republican
Franklin,Republican
Fulton,Republican
Greene,Republican
Huntingdon,Republican
Indiana,Republican
Jefferson,Republican
Juniata,Republican
Lackawanna,Democratic
Lancaster,Republican
Lawrence,Republican
Lebanon,Republican
Lehigh,Democratic
Luzerne,Republican
Lycoming,Republican
McKean,Republican
Mercer,Republican
Mifflin,Republican
Monroe,Democratic
Montgomery,Democratic
Montour,Republican
Northampton,Democratic
Northumberland,Republican
Perry,Republican
Philadelphia,Democratic
Pike,Republican
Potter,Republican
Schuylkill,Republican
Snyder,Republican
Somerset,Republican
Sullivan,Republican
Susquehanna,Republican
Tioga,Republican
Union,Republican
Venango,Republican
Warren,Republican
Washington,Republican
Wayne,Republican
Westmoreland,Republican
Wyoming,Republican
York,Republican
